index;cbo;dit;fanin;fanout;lcom;noc;loc;rfc;wmc;totalMethodsQty;protectedMethodsQty;publicMethodsQty;privateMethodsQty;finalFieldsQty;protectedFieldsQty;publicFieldsQty;privateFieldsQty;bugs
8321;8;2;0;8;0;0;18;6;1;1;0;1;0;0;0;0;1;1
8322;6;3;0;6;3;0;41;8;3;3;0;3;0;0;0;0;0;0
8323;3;1;1;3;0;0;16;1;3;2;0;2;0;0;0;0;2;0
8324;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0
8325;0;1;0;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0
8326;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8327;0;1;2;0;0;0;5;1;1;1;0;1;0;0;0;0;0;0
8328;4;1;1;4;15;0;72;21;7;6;0;6;0;0;0;0;0;0
8329;0;1;0;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0
8330;13;2;3;13;45;2;87;41;17;10;1;1;8;0;0;0;1;1
8331;4;1;1;4;10;0;23;5;5;5;0;5;0;0;0;0;0;0
8332;6;1;0;6;6;0;22;2;4;4;0;4;0;0;0;0;0;0
8333;0;1;0;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0
8334;1;1;0;1;1;0;7;2;3;2;0;1;1;0;0;0;0;0
8335;2;1;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0
8336;4;1;1;4;0;0;6;2;1;1;0;1;0;0;0;0;1;0
8337;6;1;0;6;136;0;173;25;17;17;0;17;0;0;0;0;0;0
8338;0;1;0;0;3;0;5;0;3;3;0;0;0;0;0;0;0;0
8339;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8340;0;1;0;0;3;0;9;0;3;3;0;2;0;0;0;0;0;0
8341;2;1;0;2;4;0;15;0;4;4;0;3;0;0;0;0;1;0
8342;1;1;0;1;0;0;9;3;2;2;0;2;0;0;0;0;1;0
8343;5;2;0;5;0;0;14;8;2;2;0;2;0;0;0;0;0;0
8344;5;1;0;5;0;0;36;6;11;11;0;11;0;0;0;0;1;0
8345;12;2;1;12;0;0;127;20;14;14;0;12;2;0;0;0;4;0
8346;1;1;2;1;0;0;5;0;1;1;0;1;0;0;0;0;0;0
8347;5;2;0;5;0;0;30;4;6;6;0;6;0;0;0;0;2;1
8348;5;2;0;5;0;0;5;2;1;1;0;1;0;0;0;0;0;0
8349;1;1;5;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8350;1;1;0;1;0;0;10;2;2;1;0;1;0;0;0;0;0;0
8351;5;1;0;5;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8352;4;1;0;4;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8353;1;1;1;1;0;0;16;2;3;3;0;3;0;0;0;0;3;0
8354;6;1;0;6;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8355;11;2;1;11;43;0;93;34;14;14;0;14;0;0;0;0;2;1
8356;3;1;4;3;1;0;4;0;2;2;0;0;0;0;0;0;0;0
8357;4;2;2;4;3;0;19;6;4;3;0;2;1;0;0;0;0;0
8358;0;1;0;0;1;0;4;0;2;2;0;0;0;0;0;0;0;0
8359;3;1;0;3;0;0;9;8;1;1;0;1;0;0;0;0;0;0
8360;4;5;3;4;0;0;128;13;6;4;0;1;3;0;0;0;4;0
8361;6;1;1;6;0;0;17;5;4;3;0;3;0;0;0;0;2;0
8362;4;1;0;4;0;0;6;2;1;1;0;1;0;0;0;0;0;0
8363;5;2;0;5;0;0;36;19;9;9;0;9;0;0;0;0;3;0
8364;5;2;1;5;1;0;19;9;4;3;0;1;2;0;0;0;1;0
8365;12;1;1;12;34;0;38;10;9;9;0;0;0;0;0;0;9;0
8366;5;1;1;5;1;0;18;7;4;2;0;2;0;0;0;0;0;0
8367;5;1;0;5;0;0;8;5;1;1;0;1;0;0;0;1;1;0
8368;8;1;1;8;91;0;53;9;14;14;0;10;4;0;0;0;0;0
8369;1;2;0;1;0;0;12;0;2;2;0;2;0;0;0;0;0;0
8370;6;1;55;6;45;0;12;0;10;10;0;0;0;0;0;0;0;1
8371;2;1;0;2;1;0;22;0;3;3;0;3;0;0;0;0;1;0
8372;4;2;0;4;0;0;18;10;1;1;0;1;0;0;0;0;0;0
8373;1;1;0;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8374;8;1;0;8;0;0;20;7;4;4;0;4;0;0;0;1;0;0
8375;1;5;2;1;0;0;5;0;1;1;0;1;0;0;0;0;0;0
8376;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8377;19;8;0;19;0;0;117;7;7;7;0;7;0;0;0;0;0;0
8378;2;2;0;2;3;0;9;0;3;3;0;3;0;0;0;0;0;0
8379;5;1;0;5;1;0;32;6;2;2;0;2;0;0;0;0;0;0
8380;7;1;0;7;3;0;21;11;4;3;0;3;0;0;0;0;0;1
8381;2;1;0;2;0;0;9;0;2;2;0;1;0;0;0;0;1;0
8382;1;1;2;1;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8383;4;2;0;4;1;0;30;6;6;3;0;3;0;0;0;0;0;0
8384;2;1;0;2;0;0;16;6;1;1;0;1;0;0;0;0;0;0
